Epoch: 79	Train_Loss: 156.14498901367188	 Test_Loss: 156.18093872070312
Epoch: 80	Train_Loss: 156.09376525878906	 Test_Loss: 158.1683349609375
Epoch: 81	Train_Loss: 157.64697265625	 Test_Loss: 151.73626708984375
Epoch: 82	Train_Loss: 156.22779846191406	 Test_Loss: 153.8976287841797
Epoch: 83	Train_Loss: 156.12449645996094	 Test_Loss: 152.8916473388672
Epoch: 84	Train_Loss: 155.85650634765625	 Test_Loss: 150.6757049560547
Epoch: 85	Train_Loss: 154.25599670410156	 Test_Loss: 157.04605102539062
Epoch: 86	Train_Loss: 154.4701385498047	 Test_Loss: 159.3120880126953
Epoch: 87	Train_Loss: 154.62905883789062	 Test_Loss: 152.46243286132812
Epoch: 88	Train_Loss: 153.3040313720703	 Test_Loss: 152.01182556152344
Epoch: 89	Train_Loss: 153.64999389648438	 Test_Loss: 150.81297302246094
Epoch: 90	Train_Loss: 152.7715606689453	 Test_Loss: 149.73764038085938
Epoch: 91	Train_Loss: 152.41702270507812	 Test_Loss: 152.2469024658203
Epoch: 92	Train_Loss: 151.8181610107422	 Test_Loss: 150.08840942382812
Epoch: 93	Train_Loss: 151.43856811523438	 Test_Loss: 148.38600158691406
Epoch: 94	Train_Loss: 151.75595092773438	 Test_Loss: 148.7361602783203
Epoch: 95	Train_Loss: 151.97671508789062	 Test_Loss: 163.08450317382812
Epoch: 96	Train_Loss: 151.32281494140625	 Test_Loss: 149.30662536621094
Epoch: 97	Train_Loss: 151.03944396972656	 Test_Loss: 148.35791015625
Epoch: 98	Train_Loss: 150.23422241210938	 Test_Loss: 148.71058654785156
Epoch: 99	Train_Loss: 149.96351623535156	 Test_Loss: 149.95034790039062
Epoch: 100	Train_Loss: 150.3040771484375	 Test_Loss: 146.41148376464844
Epoch: 101	Train_Loss: 149.34771728515625	 Test_Loss: 147.92300415039062
Epoch: 102	Train_Loss: 150.18263244628906	 Test_Loss: 148.1440887451172
Epoch: 103	Train_Loss: 148.93685913085938	 Test_Loss: 145.73045349121094
Epoch: 104	Train_Loss: 148.6130828857422	 Test_Loss: 145.9040069580078
Epoch: 105	Train_Loss: 148.1846923828125	 Test_Loss: 146.13406372070312
Epoch: 106	Train_Loss: 148.9341278076172	 Test_Loss: 146.45248413085938
Epoch: 107	Train_Loss: 147.462646484375	 Test_Loss: 145.94371032714844
Epoch: 108	Train_Loss: 146.90940856933594	 Test_Loss: 144.08529663085938
Epoch: 109	Train_Loss: 147.51873779296875	 Test_Loss: 144.96438598632812
Epoch: 110	Train_Loss: 146.9601593017578	 Test_Loss: 144.20944213867188
Epoch: 111	Train_Loss: 147.22561645507812	 Test_Loss: 145.2617950439453
Epoch: 112	Train_Loss: 145.79090881347656	 Test_Loss: 142.70761108398438
Epoch: 113	Train_Loss: 146.1460418701172	 Test_Loss: 143.52516174316406
Epoch: 114	Train_Loss: 146.44781494140625	 Test_Loss: 144.0709228515625
Epoch: 115	Train_Loss: 146.88916015625	 Test_Loss: 144.14495849609375
Epoch: 116	Train_Loss: 146.6504669189453	 Test_Loss: 144.0522003173828
Epoch: 117	Train_Loss: 145.94618225097656	 Test_Loss: 143.9739532470703
Epoch: 118	Train_Loss: 146.9393310546875	 Test_Loss: 145.79458618164062
Epoch: 119	Train_Loss: 145.4046630859375	 Test_Loss: 141.9158935546875
Epoch: 120	Train_Loss: 145.0204620361328	 Test_Loss: 142.71347045898438
Epoch: 121	Train_Loss: 145.62673950195312	 Test_Loss: 141.41036987304688
Epoch: 122	Train_Loss: 145.99191284179688	 Test_Loss: 142.11434936523438
Epoch: 123	Train_Loss: 144.5901336669922	 Test_Loss: 143.5271453857422
Epoch: 124	Train_Loss: 144.0611572265625	 Test_Loss: 140.98117065429688
Epoch: 125	Train_Loss: 144.1415557861328	 Test_Loss: 141.66004943847656
Epoch: 126	Train_Loss: 143.2456512451172	 Test_Loss: 140.38075256347656
Epoch: 127	Train_Loss: 143.2102508544922	 Test_Loss: 140.3408203125
Epoch: 128	Train_Loss: 144.0376434326172	 Test_Loss: 143.03677368164062
Epoch: 129	Train_Loss: 142.62718200683594	 Test_Loss: 142.6650848388672
Epoch: 130	Train_Loss: 143.44642639160156	 Test_Loss: 144.89634704589844
Epoch: 131	Train_Loss: 144.2263641357422	 Test_Loss: 141.9609375
Epoch: 132	Train_Loss: 142.95773315429688	 Test_Loss: 140.29403686523438
